work_type_id,category,category_num,code,code_num,sort_order,active,notes
01a018e2-6073-71ff-827b-587e9d53be65,General,1,ShutDown,0,0,true,Code # proposed (was blank in the master sheet) - see Data Issues.
01a018e2-6073-71ff-827b-587e9d53be65,General,1,Startup,1,1,true,
01a018e2-6073-71ff-827b-587e9d53be65,General,1,General Dredge Maintenance,2,2,true,
01a018e2-6073-71ff-827b-587e9d53be65,General,1,Mobilize to New Areas,3,3,true,
01a018e2-6073-71ff-827b-587e9d53be65,General,1,Subcontractor,4,4,true,
01a018e2-6073-71ff-827b-587e9d53be65,General,1,Debris Management,5,5,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Wash Pipeline,20,20,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Clean Cutterhead,21,21,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Clean/Repair Main Pump,22,22,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Change/Repair Cutterhead,23,23,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Service Water,24,24,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Spuds,25,25,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Generator,26,26,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Thruster,27,27,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Dredge Hydraulics,28,28,true,
01a018e2-6073-71ff-827b-587e9d53be65,Mechanical,20,Engine Room,29,29,true,
01a018e2-6073-71ff-827b-587e9d53be65,Movement,30,Move Dredge,30,30,true,
01a018e2-6073-71ff-827b-587e9d53be65,Movement,30,Move Pipeline,31,31,true,
01a018e2-6073-71ff-827b-587e9d53be65,Movement,30,Repair/Replace Pipeline,32,32,true,
01a018e2-6073-71ff-827b-587e9d53be65,Movement,30,Add/Remove Pipeline,33,33,true,
01a018e2-6073-71ff-827b-587e9d53be65,Movement,30,Adjust Anchors/Line,34,34,true,
01a018e2-6073-71ff-827b-587e9d53be65,Survey/Sample,40,Sensors/DredgePack/GPS,40,40,true,
01a018e2-6073-71ff-827b-587e9d53be65,Survey/Sample,40,Survey,41,41,true,
01a018e2-6073-71ff-827b-587e9d53be65,Survey/Sample,40,Calibration,42,42,true,
01a018e2-6073-71ff-827b-587e9d53be65,Survey/Sample,40,Sampling,43,43,true,
01a018e2-6073-71ff-827b-587e9d53be65,Booster/Land Plant,50,Clean/Repair Booster Pump,50,50,true,
01a018e2-6073-71ff-827b-587e9d53be65,Booster/Land Plant,50,Service Water Booster Pump,51,51,true,
01a018e2-6073-71ff-827b-587e9d53be65,Booster/Land Plant,50,Booster Generator,52,52,true,
01a018e2-6073-71ff-827b-587e9d53be65,Booster/Land Plant,50,Sediment Processing,53,53,true,
01a018e2-6073-71ff-827b-587e9d53be65,Booster/Land Plant,50,Water Treament Plant,54,54,true,
01a018e2-6073-71ff-827b-587e9d53be65,Booster/Land Plant,50,Dewatering,55,55,true,
